hash,evaluator_type,evaluator,score
0a6bc2d06b3b45ad171710b3ae74518cc1d1d420,model,bicleaner_ai_score,0.73
0b0b4a5693ee14b3e726bc82460a764849bc63b7,model,bicleaner_ai_score,0.74
0b0dc91d76fb30e6accb8b5ad8725da615ad5b88,model,bicleaner_ai_score,0.765
0b83b9bb4a1d2aff77260d5e639be61729acb671,model,bicleaner_ai_score,0.462
0bf76c191f72ef7f084d2d9b836ad4e6246b740b,model,bicleaner_ai_score,0.674
0c19f87314fd7b1a58a2d0a47e81f98cac2771b4,model,bicleaner_ai_score,0.767
0c1b48e8b403d48f171995b5ff9a9a3817ba6249,model,bicleaner_ai_score,0.775
0c3f576c119b1301a995d1d0fc316277d026cbbb,model,bicleaner_ai_score,0.646
0c6bd822bf1e4a41f46fe8028ac548048f4d8185,model,bicleaner_ai_score,0.761
0ca3955c0c3b0b1306698a9008c1cedf1c213bb3,model,bicleaner_ai_score,0.773
0ce2ddff9d39d5b73f8f27cd027d1c48a55ac509,model,bicleaner_ai_score,0.754
0ce9fad1f1659b9c610c789b48b454167c70b3a0,model,bicleaner_ai_score,0
0d5f33e21768ee8cfad43f24e3c3feb93e59995a,model,bicleaner_ai_score,0.762
0d747bbc3c6dd43581116a2d2c874227cfadc466,model,bicleaner_ai_score,0.745
0e024aa9a3966aa08067505120a4aa4c81b274af,model,bicleaner_ai_score,0.444
0e6a99c6b6157eedb77ba651a3e7558cc17c6e1a,model,bicleaner_ai_score,0.771
0eb4dac1005758d358f9bedb9f05e6ff90608f2b,model,bicleaner_ai_score,0.506
0f5779e054b19d688b1e693fe3af0c2c9b386ba4,model,bicleaner_ai_score,0.673
10db625af733fd61b42bd98ffaffb7a2b5eeb400,model,bicleaner_ai_score,0.747
114b9e1ce5b5fb52d0d03cddef42f6a036bf5929,model,bicleaner_ai_score,0.709
114e6f0b468637736b5f15fafa80fc6922898c4c,model,bicleaner_ai_score,0.768
11eb3063228a052bedb7db6f24d08df0a3f04ba9,model,bicleaner_ai_score,0.488
11fe7d1a450dfc61f64de8b4c3d75b1dacd08e21,model,bicleaner_ai_score,0.74
129e11df90b0ad148cc98c909bad37be51ab236e,model,bicleaner_ai_score,0.774
12ac89c1b3f37c564bb8ebaedb3e82557c997767,model,bicleaner_ai_score,0.767
13a6fa0a4a0dffa8dbf29f6a82764e4a65bb9988,model,bicleaner_ai_score,0.453
1465894633f14090f27598b853f27396bee53f31,model,bicleaner_ai_score,0.555
14b3802353782424bf1b2b45d174eb8bc61b4f41,model,bicleaner_ai_score,0.77
14f3741f0bc1225948dcf2b94759dc543243b2fb,model,bicleaner_ai_score,0.775
15a8faa5126ffdd9a48a85510118a94ed95bdd32,model,bicleaner_ai_score,0.731
163f6630cd1f55d1416f2892030e72ba8e6636e6,model,bicleaner_ai_score,0.756
16a765535de47bf3b13ee7a9521c3e4d4bdcd7c6,model,bicleaner_ai_score,0.681
16acceed38021bcff1d518c48c0ed2cfeef30aef,model,bicleaner_ai_score,0.755
178fa37efafd58164a2f8e8ee860b580e6bcf7b3,model,bicleaner_ai_score,0.738
17fd4e47355b9916471304b0582b9069a4bbd920,model,bicleaner_ai_score,0.776
18169ccf5f408192f1adab97e8b208103b046064,model,bicleaner_ai_score,0.775
184ba6f68a9c465352b3c635da0b3ad6b5112861,model,bicleaner_ai_score,0.749
185438f65fc3d29e1dc92041b659cf8d8981ab85,model,bicleaner_ai_score,0.454
18cacfa79016389fde0afd28f2b03d60f2907ff3,model,bicleaner_ai_score,0.758
18fbe6e2cb0081293f50aede1a33b6891c8c4832,model,bicleaner_ai_score,0.438
19b74e815da3a183dca72fcbb579ee0ebbacf46c,model,bicleaner_ai_score,0.775
1a562a389efa0abaa01741fcb3f4db953d8606b9,model,bicleaner_ai_score,0.776
1abab6bc5ddf68a730eabd9f5f6f85658fc53b94,model,bicleaner_ai_score,0.697
1c2886437147b98082b6d622f464a5ad12424c32,model,bicleaner_ai_score,0.671
1ce15556a6ecd32e85dba5bb36dde4d76e1c5051,model,bicleaner_ai_score,0.772
1d1f9f47ab31a71e1727b6f109cf9b7cc33f626c,model,bicleaner_ai_score,0.628
1db3ca67955ba3523a1bc897aca84927657831c2,model,bicleaner_ai_score,0.725
1e18aa2502288f644f8ae414b02138929b6561e2,model,bicleaner_ai_score,0
1f302d3672cbabea5a46c02c6fd156c344891270,model,bicleaner_ai_score,0.715
202c412f9755b74a78ee5cf92fd091ed1ab06b31,model,bicleaner_ai_score,0.683
20af7bb6971f087b4f24782699aa158f0187514a,model,bicleaner_ai_score,0.443
20dce25879d07fc86300f9dfd1d44c08f9778dd6,model,bicleaner_ai_score,0
20f004b98f2a09152440a7d75b03d66ae45bdd60,model,bicleaner_ai_score,0.762
2127a9b574f5235d17c4e72abadcda893aeef03e,model,bicleaner_ai_score,0.775
21b213fcbda7666d29ba385cf4aaf9978767875e,model,bicleaner_ai_score,0.528
21b2c104690957655266bda53f61fe245c799e90,model,bicleaner_ai_score,0.634
21e7d94f86772b7d82e1dea493686e89c6cc1800,model,bicleaner_ai_score,0.744
21e8ed2d9a1562951d380cb25954615e29f7fec5,model,bicleaner_ai_score,0.743
225550de116d9d610b299bea4495606fd83a1b8e,model,bicleaner_ai_score,0.513
228277422277072584081acbfda85b2628830855,model,bicleaner_ai_score,0.751
2313b3a64feeb241357ad91bcd106fc99cdc5ee9,model,bicleaner_ai_score,0.776
234a86a6e06755fa59fa48587df22a9215e1035f,model,bicleaner_ai_score,0.772
246893396c4b46e9c2d82669a2fbaee53d35417a,model,bicleaner_ai_score,0.739
250d946079755b475b829caf89be1058f08705af,model,bicleaner_ai_score,0.776
2546339b78912e70d022c92e795d81cf2b2dbdf4,model,bicleaner_ai_score,0.767
2578e1942d0781637126efbb80d6dd19c624cd65,model,bicleaner_ai_score,0.776
257cd4572e0c4d111f954c54371f5eb912ba2c0c,model,bicleaner_ai_score,0.671
2618665100be076ad2a4bf4729218161d5e68775,model,bicleaner_ai_score,0.772
26e9aa666ef48b9084d39a6ef8ebce19aaa49e3d,model,bicleaner_ai_score,0.773
2722efee8b411f4470bd56639fbf1b3d6b464ed7,model,bicleaner_ai_score,0.771
283d585eb424d9034c4db6c3097593e815d7e9aa,model,bicleaner_ai_score,0.695
28b55c31554a5d612f56c017f2ec7f779529dd79,model,bicleaner_ai_score,0.773
28fa659fe0e8c092af37b3d50bedb16543b94ed9,model,bicleaner_ai_score,0.583
29be16c72d697002ad208c30bcbd1ee58a96f94a,model,bicleaner_ai_score,0.775
2a578b5d52de4ec9182884a99787ef3e881e5d12,model,bicleaner_ai_score,0.685
2aaf935f3d8bd47cdac4bc5ed082bafe494eaa33,model,bicleaner_ai_score,0.47
2af92ba457bcf166cd9f1bad78f0a04782f2978f,model,bicleaner_ai_score,0
2b0add218d00588b03b8d293aef1d11c64c642a6,model,bicleaner_ai_score,0.772
2b596bf42bf0a16b057c3f0500c5e3ae4b90dd20,model,bicleaner_ai_score,0.732
2be84ad895540667b4cfafae9051e74003c4dc32,model,bicleaner_ai_score,0.774
2c54683a48b1d8cd125f8e8bfe9830841296e227,model,bicleaner_ai_score,0.53
2c72574904aedcfa4fadf3fe4a186a146243e4fb,model,bicleaner_ai_score,0.753
2d67968ec039d92321bb0dd45edf5e40283422c8,model,bicleaner_ai_score,0.732
2dcacf10c6f6c733ec2a15228a0e36404c4751a4,model,bicleaner_ai_score,0.775
2e0aea39405bc544f7a26bac4e6104732dc77b99,model,bicleaner_ai_score,0.619
2e88c7d4f4730bfc06aff96e72bee74bfeee26ad,model,bicleaner_ai_score,0.76
2fbb1126373ab74cee5fe2add94a1cb1e753c326,model,bicleaner_ai_score,0.775
30097b1c6753307a317d856c3a00d793be1be0f0,model,bicleaner_ai_score,0.757
30201c2be158b57c386767db8ac8b74dca3dfb8e,model,bicleaner_ai_score,0.739
30965949e51d26353c9314c48f44f2f95c2ed265,model,bicleaner_ai_score,0.482
30e11c6fb100b0dc05637a45042ef61cbbb8e04f,model,bicleaner_ai_score,0.6
31109b5541f9ee8ea771e3c12833050efa9f8c9e,model,bicleaner_ai_score,0.762
3127ff82ab8c81ccf8abcb87c45e08822d51e8c9,model,bicleaner_ai_score,0.744
315a03bc6901df26611cea14c4d14f21dc3f4c0e,model,bicleaner_ai_score,0.459
319dadd2e601cc6543ab9eb9d546ffa0a29c421d,model,bicleaner_ai_score,0.761
31d66cc56000c37288bac1958271df27fa104c88,model,bicleaner_ai_score,0.759
32015317f880f41cfa2805e39f5425aaa55100e6,model,bicleaner_ai_score,0.764
321be8964f0cb22b988d015b6327200fc0336ff5,model,bicleaner_ai_score,0.769
3227f40af459a36c826a4cddeb69527879ab9035,model,bicleaner_ai_score,0.775
32371a0d21926a6332c579cba56c4f2c442f83b7,model,bicleaner_ai_score,0.773
3277d89fd4d722b13500775d32130eda8570883f,model,bicleaner_ai_score,0.65
33248398de2a6d36fcad0a2087278935677f5430,model,bicleaner_ai_score,0.46
333b3a84c35ff52f6ec3f3e6a9ce6ff8c609cfee,model,bicleaner_ai_score,0.701
33bc94ed3fab63832bcfe17543e87ffd0aaec99b,model,bicleaner_ai_score,0.72
33f9b845de65356a3b519fbad87ff62a27a4bd27,model,bicleaner_ai_score,0.766
34cbe32928bd514e1733df1caff2408ed9e51607,model,bicleaner_ai_score,0.453
34d6689ddb6793791a6c42c53d28eb05fe46b4aa,model,bicleaner_ai_score,0.606
35aaddac4ed1237bb4719b307b34768af97bb3e8,model,bicleaner_ai_score,0.76
35ab35243032bbfa0c8fb621b9632f6a38773f4c,model,bicleaner_ai_score,0.753
35ff77e72777fbbca61f67449ee40be4d0730c5f,model,bicleaner_ai_score,0.775
369bec129786b1b8b18779e1bdc580baa48d0287,model,bicleaner_ai_score,0.76
36fb4923b8fa8760d6781116003ae1e0292723d5,model,bicleaner_ai_score,0.711
3718dbca9baf6d962091532fe2cde7c955c53286,model,bicleaner_ai_score,0.769
37955953c5843da679ced3bf8abce78c61a82db6,model,bicleaner_ai_score,0.741
37ace8d5baf5a707c875ac396f337b3a096d8b12,model,bicleaner_ai_score,0.775
37b9ee3b0ee3879d8ee237564669d1d0eb9b2f04,model,bicleaner_ai_score,0.77
3848a94bab1d4aca408fca18b70c52d1f5b1dd6f,model,bicleaner_ai_score,0.759
38f9868a261e01e0d5055e52845eedfacf5b9dd5,model,bicleaner_ai_score,0.768
394f4f3f0dd124d36d16c644eaaeb2cdbb5ab548,model,bicleaner_ai_score,0.775
396fb8b82371181b1645dbf78b4a0f9ae6d672a0,model,bicleaner_ai_score,0.772
3982c1213bf3426dd26685adcab0cb3ed3ba99d4,model,bicleaner_ai_score,0.764
3a243d2b19f92827757c11d930f7af75d0cc6665,model,bicleaner_ai_score,0.742
3b1fc2b6201dfe2a15eaaf211768ca36df6b9a3d,model,bicleaner_ai_score,0.724
3beabab67aef1d01f3931edd9df24b1dbfcef619,model,bicleaner_ai_score,0.669
3c556b5664c60296d9a4023bf6d6bdb2f16c0e62,model,bicleaner_ai_score,0.764
3cbdcf582ef683217e40c284439cf2f27133f025,model,bicleaner_ai_score,0.767
3cd2bac553c7e63f5a0735c1fb39a0e27d2a0ca3,model,bicleaner_ai_score,0.753
3d60c8f8feca917160d787010bbfeebc28eb493c,model,bicleaner_ai_score,0.626
3dce7e14c7575c7328380fe10d8017951475c34e,model,bicleaner_ai_score,0.775
3e6631675e700837bc55fa46d80e3e2a100b563c,model,bicleaner_ai_score,0.774
3ea64cfbe523de55a74835a3d1b52a3da4eaab41,model,bicleaner_ai_score,0.7
3f300b02121b66537e4b3bb286f1515e0e2583ef,model,bicleaner_ai_score,0.756
3fc124f455111cfabfe4efd53c094b70445d44db,model,bicleaner_ai_score,0
409f2a86c6d099210e24616f3cc36af0d7d6258f,model,bicleaner_ai_score,0.774
40a02ef708479ff3bc45e44e0648fdaf0de040ae,model,bicleaner_ai_score,0.756
40bd0e7275a33375f7b4974d3f5a3d798793b746,model,bicleaner_ai_score,0.77
40daad4fb4d1d29364dbd57f8c316c2a60b3abd0,model,bicleaner_ai_score,0.77
418f03b62d50bd11e374c13d7a187a593302d8e3,model,bicleaner_ai_score,0.733
41f1856032999b9febf9bd4cac37294d162f2ac9,model,bicleaner_ai_score,0.764
41f3f9f350e9632b0c0bf639227a1226bb2cfa24,model,bicleaner_ai_score,0.654
42b2b494aa4eddb4f9cf1dccfe872a2071d61957,model,bicleaner_ai_score,0.768
42e6ff768062c19525334c8b2afedd18358802b0,model,bicleaner_ai_score,0.679
45489be87419c5cee7973f6546c9e3941a6ae6ae,model,bicleaner_ai_score,0.707
456e4668eed55444340674157fb259cc4fbcc1cf,model,bicleaner_ai_score,0.771
45cee2dfbf73b6b98d8e8ad82b1cf5fe6ba1cc93,model,bicleaner_ai_score,0.626
46173ca6c5c3b099d26b548b42fcb6ade10ae09e,model,bicleaner_ai_score,0.774
461f5851e021d9bdfb40a7a6ea7c7d2e8c73866f,model,bicleaner_ai_score,0.714
467e5d44de17d7763b64d0d2e2e92b364417c433,model,bicleaner_ai_score,0.774
46ce62ff3412bd42c5716f561a9f6002f4555041,model,bicleaner_ai_score,0.705
4773e1ba7746bccde9e600ac3abb715ab61868ac,model,bicleaner_ai_score,0.776
4796a109e8a51aaeafb3d47785f6f9349d9910ef,model,bicleaner_ai_score,0
481ab944a05bbc7733817885d7501eae1cd56b7d,model,bicleaner_ai_score,0.449
4825536698b944be7ba6c68452f8512ddd6690b7,model,bicleaner_ai_score,0.766
482de8da34b4dae89174f010f38ee7b3c3642645,model,bicleaner_ai_score,0.453
484fafebc0eed98dcc4c673caa2186a05a72854c,model,bicleaner_ai_score,0.67
48570132c8ddb3ac3b622279671d65ea2d9d6b5c,model,bicleaner_ai_score,0.686
4885067ac2f066cfa990fb117b64e2b355ebc126,model,bicleaner_ai_score,0.581
48dadebe5e23ed35da35419dd713243b649f4777,model,bicleaner_ai_score,0.698
493cbfe46e6a45f74bd008c444775736f32f73ba,model,bicleaner_ai_score,0.643
4947d3d498ed5765c61ca92ffb9913b262024eaf,model,bicleaner_ai_score,0.763
4967f321a1d0f3e70d2f69858ddfd3ecc18793de,model,bicleaner_ai_score,0.769
496a797dee79164d5c5f3d3c775d80b8baf055ca,model,bicleaner_ai_score,0.547
49a8cf3160b231cfbaee06f7c2467b3e819ddcd0,model,bicleaner_ai_score,0.489
4a5d896ece18de4ef4bba5df48ced5ad9afcc48a,model,bicleaner_ai_score,0.52
4b0c4e91ae833a6480a6bc86152c27265ec2befe,model,bicleaner_ai_score,0.771
4b4f6f99fbb9b990af7554e2c7a7cd75e646bc92,model,bicleaner_ai_score,0.685
4b83d51e743734641207228b650579a69588ff7e,model,bicleaner_ai_score,0.732
4d9eb93aa149a88da90f6cb9a17802827702ec07,model,bicleaner_ai_score,0.734
4f4de3f855740a74df2ac944967e9f7d6a47c874,model,bicleaner_ai_score,0
4f7a4d7429bc6bd6912128eb52a392b915701e79,model,bicleaner_ai_score,0.771
4fd807b6360addbb4ce55cdf773a0dfd10aee829,model,bicleaner_ai_score,0.775
4fde45543cf5852c810f649ada7ed3ceda6f86f7,model,bicleaner_ai_score,0.775
4feb51273ee0b31101848b5b60cd0925504f8b2b,model,bicleaner_ai_score,0.653
4ff080df6db87d5f67c65b8d235dd665c7d618eb,model,bicleaner_ai_score,0.774
505c9a01450dec3b6035bdbd4e70b1c2f779480f,model,bicleaner_ai_score,0.757
50e22042ea676a4ed7f8bbad8f871e8be6d490e0,model,bicleaner_ai_score,0.587
51df3b4fab40b799a9c752b3986e239e36d37d68,model,bicleaner_ai_score,0.772
524eda58d4acaa66c5c406a5e4b03a180f795b79,model,bicleaner_ai_score,0
52744b81b0de7b9bcb641c126f4e588ae21f5b77,model,bicleaner_ai_score,0.723
52755fa969d14c9da462da7a4ab72aeddf76677b,model,bicleaner_ai_score,0.775
540879588e27ef1210a76a6fe68cfd3b71562376,model,bicleaner_ai_score,0.652
54359003d63c21718a1bb2cdffd612ed5a36665b,model,bicleaner_ai_score,0.771
54e535bfc9b712db9ddde27e91d4b3df6301f958,model,bicleaner_ai_score,0.753
552c8256981a68859261b897beba8967ba801956,model,bicleaner_ai_score,0.54
5530ecaa590332062e60c111c32ef1a2b58f19ce,model,bicleaner_ai_score,0.771
57a6d6dec8df8c877accb47a466287af33cc45d0,model,bicleaner_ai_score,0.769
57a8c4813084fe9fd5bb8f4a133ff67e4e3c333f,model,bicleaner_ai_score,0.637
5884b921b6045758e688dd8a4503bb7dedc6ced2,model,bicleaner_ai_score,0.771
5912721c0e8016a4306b8cf9097e1a0949e0ba72,model,bicleaner_ai_score,0.542
596aa72ed7f02be1f079a612aa51a71e00a345cc,model,bicleaner_ai_score,0.771
5973d5f07ab3995e36b54659fc111e4899d2daee,model,bicleaner_ai_score,0.697
59e4b34d48b33165d1f0f310a5386cdb1c780a16,model,bicleaner_ai_score,0.717
59e9d3c51b9f01bd82a8606d833151f5d280b1cd,model,bicleaner_ai_score,0.768
59ef7fed61892f3648e22a2f1367adb42232fcbf,model,bicleaner_ai_score,0.774
59f8c61bda6261f7b1aa80d9d0229df7df1c2186,model,bicleaner_ai_score,0.438
5a216c9a2e97c03d914aa46f0c991f71670e4994,model,bicleaner_ai_score,0.728
5a3710f12b77ffbf1b4b456d0d65dcf92ee80c7b,model,bicleaner_ai_score,0.738
5a410f62cf45825abe4d5b1916fce0c9f52a4fc2,model,bicleaner_ai_score,0.764
5a622df002584594ebe07f5f51135319f9abd314,model,bicleaner_ai_score,0.746
5a8f3e7918c18794699b1e70a8178a4c13b7e989,model,bicleaner_ai_score,0.773
5a97bd5f8c4aefe23e817891de768c7ede94729b,model,bicleaner_ai_score,0.762
5b69ba988b4260adf1f70454a43cda4d62249f26,model,bicleaner_ai_score,0.764
5bd18b45a4f7344f74342d7042d90f2d9b5e3318,model,bicleaner_ai_score,0.686
5bd1bbeebda925d86e6d5dcb466eb634d4671b4a,model,bicleaner_ai_score,0.774
5bda658268f064d07092af410c7d704295d4eb44,model,bicleaner_ai_score,0.758
5bf7d84c816b60b078f60257756861ec6fced931,model,bicleaner_ai_score,0.447
5c006b0ffbeeabbf6b3ed05cc7df5ca5d1bfd2d4,model,bicleaner_ai_score,0.745
5ca7d264065f2382a7566d45c563d917b5f64119,model,bicleaner_ai_score,0
5dfb39c732324e56e7fc9a8021372b436457993c,model,bicleaner_ai_score,0.517
5f4f7a72ff19350fda913b65aec3ab1024f39915,model,bicleaner_ai_score,0.767
5f6ba84fda45b37c463868fcd15b0e1ecea468d1,model,bicleaner_ai_score,0.773
5fed58786510ad0682b40692d488475832666b77,model,bicleaner_ai_score,0.774
600895147473f1c069d71f01cdd43dc7bfd5e6a1,model,bicleaner_ai_score,0.776
60cabe417660a4ecbc23c4bdd05fa708c774c9ff,model,bicleaner_ai_score,0
614885e3c2594757ae2ed13ddb2811a365f58ea6,model,bicleaner_ai_score,0
615cbc34a390f19b6b0b6f9f0cd9c2840fd72abe,model,bicleaner_ai_score,0.773
6190e519c3cc31ce568b6226cb8f5ec710fc6a75,model,bicleaner_ai_score,0.772
61e994abe0fa4be25267edf541b83f28f6c28c02,model,bicleaner_ai_score,0.697
624d25fb41f9cf4b55d04c8eb436377c3a45ce6b,model,bicleaner_ai_score,0.704
625860f5cec49b1291e769ce25ce945a459658dd,model,bicleaner_ai_score,0.74
6265e84b04bcdd0e191208e0a16324d51b19d44e,model,bicleaner_ai_score,0.765
627af4005c08984c5b415d1bbedbe7ab0b698a92,model,bicleaner_ai_score,0.739
627af443c5ade76c682f9363c7499cf370207476,model,bicleaner_ai_score,0.75
62d10eef6d9f72c630b79b011433419831198813,model,bicleaner_ai_score,0.761
62f76021b76144777ae88c378fba40313c0f161d,model,bicleaner_ai_score,0.773
634eced402d1526420b8d937a7d8079d2ea07b0f,model,bicleaner_ai_score,0.712
635dfcd33fff0c96f473dc83aa88a2e52f901800,model,bicleaner_ai_score,0.537
63851d693c8ea2f9cda2aa8b2a152b82eaf92624,model,bicleaner_ai_score,0.707
63ce72833447e73846044f9af3b0101914ef66d9,model,bicleaner_ai_score,0.487
63e14c466cabbaeda76b9d297b79a2c8aa606d4b,model,bicleaner_ai_score,0.76
6443d2eb4e2a5bf8fdd02ebd347f9ef9ef454852,model,bicleaner_ai_score,0.776
648a460dce478d3e2ef0ea59424e3e31dee4bbe5,model,bicleaner_ai_score,0.46
64fef683ead61f8abb2fea03183942b00b1b5981,model,bicleaner_ai_score,0.74
66017b23a574099ddad764fe7dfb1d1f758697c9,model,bicleaner_ai_score,0.766
66321b63b2e2eb79c91488697f05647dea7389f2,model,bicleaner_ai_score,0.771
667cf1052c8d71355a7e5ccaa16b5d3765a74c0b,model,bicleaner_ai_score,0.775
6681e076a045194d31d4b0ec3ff9bb5d0952bc5c,model,bicleaner_ai_score,0.771
668b6c00d39f2f3ff61628316f2270f473ac214c,model,bicleaner_ai_score,0.744
66b6ada4122e3030f8d14409eed4a15d7f6abef1,model,bicleaner_ai_score,0.57
6732d65ee083db463495f5002f1e2ed6816d401e,model,bicleaner_ai_score,0.662
677c09fd1cb5e165b4554158fbce27c9fc7e5692,model,bicleaner_ai_score,0.74
67d5029946343113c464a53c894592441395c592,model,bicleaner_ai_score,0.77
6807a3f03af28e8ed7dee4318280409f4b421aae,model,bicleaner_ai_score,0.464
687dfa8d5f02ab11cae0df93145618ef6da711cf,model,bicleaner_ai_score,0.476
68f16001979b161e4143c38bccfa02c80cba9b41,model,bicleaner_ai_score,0.747
691e22a596f631751240365c7b490de6a00e9ecb,model,bicleaner_ai_score,0.721
69f066d936be63ab45b8386b65f33ceb6363684d,model,bicleaner_ai_score,0.772
6aedc5f06f19df8c689befc6f52c8b4d9b037978,model,bicleaner_ai_score,0.744
6aef29ca62aa30955bb2d58932f5abf88c6bdf4e,model,bicleaner_ai_score,0.769
6b38335a2be98bdf7543fdfe6de5c7d9592d235a,model,bicleaner_ai_score,0.605
6bb8fd4fb7b23fb77e661d72ca5ee0165d78e330,model,bicleaner_ai_score,0.761
6bdf17a7a51de0cedba57bde46ecd6260e23d670,model,bicleaner_ai_score,0.776
6c003c37a4cf1198c0e4d418a43b3c9ed9deb849,model,bicleaner_ai_score,0.764
6c8f578e95d5f43c4f33875eab9d5093ad040693,model,bicleaner_ai_score,0.771
6ce0aaefa81a6268c2f528bd1799c26cc32b65b6,model,bicleaner_ai_score,0.768
6cfd852a2b2ad49df219ab4e1f291e072b9b5e19,model,bicleaner_ai_score,0.632
6d57b5d755d5d60b6e775a8a7bb8b9c69973181d,model,bicleaner_ai_score,0.771
6d999b0f65e5187f50c6f0b042cc0e21048c6834,model,bicleaner_ai_score,0.719
6dd5a74f64c233a27631332474690437d6bc376b,model,bicleaner_ai_score,0.714
6e1cd320f7b92c117c658a182f78c8786758af9e,model,bicleaner_ai_score,0.717
6e83fa175403daa642bf94db05c7fce5adbc63b3,model,bicleaner_ai_score,0.503
6ee9083ba928af5973cc227488d5197bdb316776,model,bicleaner_ai_score,0.683
6faed76ad73112b3c1e977ac3963de31759414c1,model,bicleaner_ai_score,0.747
7021b5bdb3906e2b71eb69f69fc3f8c013f2ca23,model,bicleaner_ai_score,0.772
70574301b4de22f990c04ff68a396b115330d257,model,bicleaner_ai_score,0.453
706d25f785135993dc3daa10b9138ed7a9b1f485,model,bicleaner_ai_score,0.766
70ec01d158700aa2927ad5f850889859c626410e,model,bicleaner_ai_score,0.45
715370cf743261d8ea19cee5296bf13ca28a47d4,model,bicleaner_ai_score,0.773
717e20d92fcbc0e7a400c76aa571ffbff23c7890,model,bicleaner_ai_score,0.774
7193ee33487b0bdc8a9cf5418dc184ef10c01505,model,bicleaner_ai_score,0.776
72464269d274f3c94553180494f04424aff5f6e8,model,bicleaner_ai_score,0.766
72b09adea2dbd65a3d99dfa431c034c14180156c,model,bicleaner_ai_score,0.756
7306af179b5d7b27dcea44fe5a1e9e7ce9a8e293,model,bicleaner_ai_score,0.44
73092c2e504c33393335ee01bfc42184765d0127,model,bicleaner_ai_score,0.64
73139f821cf76aa99088ae158e553b21b4ee9294,model,bicleaner_ai_score,0.728
7366cdda827c3c4287f12f84a8be673f638bf0ad,model,bicleaner_ai_score,0.775
7376e654bd15452119a191573d7993c691f722fe,model,bicleaner_ai_score,0
73920e096c5cd1cb8f72df3b044834b4d4e01c60,model,bicleaner_ai_score,0.775
73dd7fa8e40ea55ee181d1688566f49c95977999,model,bicleaner_ai_score,0.756
740813a7ec6c2c013d7fc310087710b430b7cef3,model,bicleaner_ai_score,0.763
7484b50767d5c76573aea11204382a0e56794f3b,model,bicleaner_ai_score,0.773
74af4d1a59e6b86e2ff912c49ab0e277ef16c1aa,model,bicleaner_ai_score,0.773
74ca3fa88f968d07c8a0ba8e1cdad0bb87ca2a76,model,bicleaner_ai_score,0.771
74f60d919990a51a48b0b06c9705218c18d243f3,model,bicleaner_ai_score,0.712
757d25c3fbf701c83ba11ef17aea33165a8a14ec,model,bicleaner_ai_score,0.771
759d1a60fe07bfe8399ad84f1eaa7dcdde9f96e9,model,bicleaner_ai_score,0.771
75f52bc727df25d8f6d140188e51d5355aa9d146,model,bicleaner_ai_score,0
76a1dcd899ce7e64ec3f43abe0655cd57f6a9af4,model,bicleaner_ai_score,0.758
76af39b0e2956dd2e0e3abe9bed5c8d598f96bc4,model,bicleaner_ai_score,0.526
