hash,evaluator,evaluator_type,answer,fluency,adequacy
edd539bdcc431669f553e6c4277589b1ea5e51e8,gemini-3-flash-preview,llm,,98,75
db714b9d220b9460a013913641ebcd944cf3daf6,gemini-3-flash-preview,llm,,95,100
ffbc0059171d9e2ddec3a9837bc84ccbc0c1866e,gemini-3-flash-preview,llm,,38,85
20af7bb6971f087b4f24782699aa158f0187514a,gemini-3-flash-preview,llm,,98,0
b2ca5f8629a7b5fb2477fa68c53f496a42add35f,gemini-3-flash-preview,llm,,96,100
df12d705e368f959fcf73a64f38e748973d5efee,gemini-3-flash-preview,llm,,90,98
5fed58786510ad0682b40692d488475832666b77,gemini-3-flash-preview,llm,,90,95
d9b5deb24c0ce29dae61acabc49c7a5efdd2e29d,gemini-3-flash-preview,llm,,98,100
c0cba93840432e5476f93796ed6222493492293f,gemini-3-flash-preview,llm,,98,100
ea00b901da45c5edee7d1ab2689e589b3ef42099,gemini-3-flash-preview,llm,,85,85
847d7d0b13b47a8152f4025bf6c94134a4ab7f41,gemini-3-flash-preview,llm,,92,100
79050668ea67e5002f3981ab670c7daa3a0fad94,gemini-3-flash-preview,llm,,95,10
184ba6f68a9c465352b3c635da0b3ad6b5112861,gemini-3-flash-preview,llm,,95,100
a570791ae346cd4a655e8b9babe6b5814004490c,gemini-3-flash-preview,llm,,95,100
246893396c4b46e9c2d82669a2fbaee53d35417a,gemini-3-flash-preview,llm,,70,95
283d585eb424d9034c4db6c3097593e815d7e9aa,gemini-3-flash-preview,llm,,95,100
185438f65fc3d29e1dc92041b659cf8d8981ab85,gemini-3-flash-preview,llm,,45,85
cf9f2e0669f2afc40a602b68d10dd859a0c6bb8b,gemini-3-flash-preview,llm,,80,98
28fa659fe0e8c092af37b3d50bedb16543b94ed9,gemini-3-flash-preview,llm,,95,88
dcc8a1270980858a1977a37b8afe87aad1099b5c,gemini-3-flash-preview,llm,,95,95
b0628b995da51161a4a82bf282d4667334f5239e,gemini-3-flash-preview,llm,,78,98
d86cee21c710e9699c77a746da3eaa3fac8c790a,gemini-3-flash-preview,llm,,98,98
d8f0435a650053ad13c06078b91535e19e426ff2,gemini-3-flash-preview,llm,,100,100
484f0e7a95deddfa9fee65d6b8f055567ebbb37d,gemini-3-flash-preview,llm,,45,85
74ca3fa88f968d07c8a0ba8e1cdad0bb87ca2a76,gemini-3-flash-preview,llm,,96,98
817493942a7e083a1fc2e76b96596bb90a4ac586,gemini-3-flash-preview,llm,,95,98
4ff080df6db87d5f67c65b8d235dd665c7d618eb,gemini-3-flash-preview,llm,,95,100
2127a9b574f5235d17c4e72abadcda893aeef03e,gemini-3-flash-preview,llm,,90,100
08bbb49cd73c56f1befd84a3e78f42929423172f,gemini-3-flash-preview,llm,,95,92
969a0e4be3d045ab43f026fd4674ff8be3667296,gemini-3-flash-preview,llm,,95,98
8b383df9f61ef668700db1946986fd9b7e26d334,gemini-3-flash-preview,llm,,95,30
b6f68060cb80924cfe6f34153ca3ad491ec90e36,gemini-3-flash-preview,llm,,90,98
fb6c74d9f1918fc0bebbd037cdd8a07789bb7120,gemini-3-flash-preview,llm,,98,100
552c8256981a68859261b897beba8967ba801956,gemini-3-flash-preview,llm,,85,95
634eced402d1526420b8d937a7d8079d2ea07b0f,gemini-3-flash-preview,llm,,98,100
d410695f81b34108d5606efcc44a1fce25e62543,gemini-3-flash-preview,llm,,98,100
57a8c4813084fe9fd5bb8f4a133ff67e4e3c333f,gemini-3-flash-preview,llm,,95,90
484fafebc0eed98dcc4c673caa2186a05a72854c,gemini-3-flash-preview,llm,,40,85
fea474e76fdb59c1c33c9b90a942ea6bddebd48c,gemini-3-flash-preview,llm,,94,50
63e14c466cabbaeda76b9d297b79a2c8aa606d4b,gemini-3-flash-preview,llm,,55,100
3dce7e14c7575c7328380fe10d8017951475c34e,gemini-3-flash-preview,llm,,98,98
0746ebc49d7a634888072e852c5e4fc28dd62b84,gemini-3-flash-preview,llm,,68,95
163f6630cd1f55d1416f2892030e72ba8e6636e6,gemini-3-flash-preview,llm,,95,98
84c8ea6984c09539e31c7599467956c85563c664,gemini-3-flash-preview,llm,,20,45
8694aabe9a1aa232e06032cae723f84492b5c7c0,gemini-3-flash-preview,llm,,95,95
6c8f578e95d5f43c4f33875eab9d5093ad040693,gemini-3-flash-preview,llm,,78,95
90f24c1c91e46787ba109caed736cfedb293e45c,gemini-3-flash-preview,llm,,98,100
37ace8d5baf5a707c875ac396f337b3a096d8b12,gemini-3-flash-preview,llm,,95,100
5a3710f12b77ffbf1b4b456d0d65dcf92ee80c7b,gemini-3-flash-preview,llm,,74,85
fab8f611c4ad7e5facbc10e7b90f9e692cdeddfb,gemini-3-flash-preview,llm,,78,98
f5a0a53aba630dcbc03b4b3d7c1c8dfc95e4a4ae,gemini-3-flash-preview,llm,,85,100
4a5d896ece18de4ef4bba5df48ced5ad9afcc48a,gemini-3-flash-preview,llm,,90,15
f6db262f97dab612d25e1f12831a8d4ba5373750,gemini-3-flash-preview,llm,,95,35
e385320dfc9a15d3d199eae7c6658dc8a3dc8cad,gemini-3-flash-preview,llm,,95,100
319dadd2e601cc6543ab9eb9d546ffa0a29c421d,gemini-3-flash-preview,llm,,92,100
18fbe6e2cb0081293f50aede1a33b6891c8c4832,gemini-3-flash-preview,llm,,85,75
4d9eb93aa149a88da90f6cb9a17802827702ec07,gemini-3-flash-preview,llm,,95,70
aad932c4541f26a3701a62311c1e5ff4b0dab646,gemini-3-flash-preview,llm,,95,100
cfb927e084eb7136f3268d929503f0acc457fa5b,gemini-3-flash-preview,llm,,92,95
7b1b1199d9074b93f3a94be770f42cec03ca106c,gemini-3-flash-preview,llm,,95,100
2fbb1126373ab74cee5fe2add94a1cb1e753c326,gemini-3-flash-preview,llm,,95,100
879a417739f6bbdf6a6dc4103bbf2dee1c3a6df4,gemini-3-flash-preview,llm,,98,70
76c76bb280987469d38fceee3fc9a5f775df8d7e,gemini-3-flash-preview,llm,,78,75
33248398de2a6d36fcad0a2087278935677f5430,gemini-3-flash-preview,llm,,90,85
dd02bbc9c837713ec897c6d1381b0120f375b6c2,gemini-3-flash-preview,llm,,95,100
0eb4dac1005758d358f9bedb9f05e6ff90608f2b,gemini-3-flash-preview,llm,,95,40
9a4ce16b8d1e962f94e2a8945b6d773bd6b59d6d,gemini-3-flash-preview,llm,,98,100
5b69ba988b4260adf1f70454a43cda4d62249f26,gemini-3-flash-preview,llm,,92,88
e9010ca4b313bd7e8604ce3049d6f5014c11c8f2,gemini-3-flash-preview,llm,,95,100
524eda58d4acaa66c5c406a5e4b03a180f795b79,gemini-3-flash-preview,llm,,98,98
52744b81b0de7b9bcb641c126f4e588ae21f5b77,gemini-3-flash-preview,llm,,95,80
178fa37efafd58164a2f8e8ee860b580e6bcf7b3,gemini-3-flash-preview,llm,,95,45
dd4e7ad7a086cca50c304fa48f0d63acef501b70,gemini-3-flash-preview,llm,,95,95
e5f907600efedf74ecd4e16e0726e867dce24723,gemini-3-flash-preview,llm,,85,95
c526a3cd729a7f1a2ff6f6c6e1ea7112870fabf4,gemini-3-flash-preview,llm,,96,60
028285cd8ea3650c692b577128e5695bc695f65f,gemini-3-flash-preview,llm,,95,95
026a87203f9560006280d25991d7369845fd668b,gemini-3-flash-preview,llm,,82,98
76af39b0e2956dd2e0e3abe9bed5c8d598f96bc4,gemini-3-flash-preview,llm,,90,78
af2b64a603f0c7a9c27482f435417aae289ad230,gemini-3-flash-preview,llm,,95,100
97b3127fac5bbd209a6b0cf1697d59c4ec72cc26,gemini-3-flash-preview,llm,,95,85
2d67968ec039d92321bb0dd45edf5e40283422c8,gemini-3-flash-preview,llm,,94,92
7376e654bd15452119a191573d7993c691f722fe,gemini-3-flash-preview,llm,,95,100
6732d65ee083db463495f5002f1e2ed6816d401e,gemini-3-flash-preview,llm,,98,100
9dec0a71790ff51afb5e71647e837d72da3fefe1,gemini-3-flash-preview,llm,,82,95
0c19f87314fd7b1a58a2d0a47e81f98cac2771b4,gemini-3-flash-preview,llm,,95,70
68f16001979b161e4143c38bccfa02c80cba9b41,gemini-3-flash-preview,llm,,90,100
948e53aa5d684810ea565fcf5e6cddcc1116e944,gemini-3-flash-preview,llm,,92,98
14f3741f0bc1225948dcf2b94759dc543243b2fb,gemini-3-flash-preview,llm,,90,98
fa35784041a884070789d30fd365d61920ab6ea9,gemini-3-flash-preview,llm,,96,100
bdef84ce6ca276a28e4c9bce00c83d02c8491066,gemini-3-flash-preview,llm,,58,98
5a216c9a2e97c03d914aa46f0c991f71670e4994,gemini-3-flash-preview,llm,,95,88
a809ae6b2d8a9ff09956c23fdff5e4e43c547422,gemini-3-flash-preview,llm,,55,98
fbbd580602218a463be1f46ed6289efb068ae9f2,gemini-3-flash-preview,llm,,95,100
6cfd852a2b2ad49df219ab4e1f291e072b9b5e19,gemini-3-flash-preview,llm,,62,90
06e4e1392574db07353b1ac6e16970dc01196b33,gemini-3-flash-preview,llm,,98,5
786b59baccb25433ab104ebed3b6591deaf58d45,gemini-3-flash-preview,llm,,98,90
74af4d1a59e6b86e2ff912c49ab0e277ef16c1aa,gemini-3-flash-preview,llm,,88,100
dac6e8547443a16d7c7c73428c48329d88d7d65c,gemini-3-flash-preview,llm,,65,75
9f5b41bb78f3cfe47deaa8b2e0644b1ce9abe91a,gemini-3-flash-preview,llm,,95,95
677c09fd1cb5e165b4554158fbce27c9fc7e5692,gemini-3-flash-preview,llm,,95,85
1abab6bc5ddf68a730eabd9f5f6f85658fc53b94,gemini-3-flash-preview,llm,,95,98
6ce0aaefa81a6268c2f528bd1799c26cc32b65b6,gemini-3-flash-preview,llm,,85,95
c7c7405ae8cb55c8d762032e0e075fe76cd4c633,gemini-3-flash-preview,llm,,58,90
844b89fef440970044adff493188225401199b0f,gemini-3-flash-preview,llm,,98,88
973f0b561bc13214f7932fd128eb234669d3fd49,gemini-3-flash-preview,llm,,98,30
5530ecaa590332062e60c111c32ef1a2b58f19ce,gemini-3-flash-preview,llm,,98,100
8f15a19f19cb1bcaef07f89c03af33d032a9cfcc,gemini-3-flash-preview,llm,,75,98
3d60c8f8feca917160d787010bbfeebc28eb493c,gemini-3-flash-preview,llm,,98,35
8e2eb37e7a08b7446fe58d7c2a152397ee4c6769,gemini-3-flash-preview,llm,,78,98
940ca96d210e50163d7f110b79c45e5c78961eff,gemini-3-flash-preview,llm,,88,98
e336656105574f313527ff331fa00764443ab7d8,gemini-3-flash-preview,llm,,95,95
ae1283e151beac8b1cec137a1415bdd6421ac8ab,gemini-3-flash-preview,llm,,92,98
7be27a850e3aae8e5b2c659cfe94f320c47a8913,gemini-3-flash-preview,llm,,100,100
d5969d7c372f4204adec13a82af90a396b86904f,gemini-3-flash-preview,llm,,95,100
fd1486556d90d86d331b4fc4b80a383668e437c9,gemini-3-flash-preview,llm,,95,100
b85c5e0dd860cced371f80ec7c3642d4d8a8dccf,gemini-3-flash-preview,llm,,98,5
4967f321a1d0f3e70d2f69858ddfd3ecc18793de,gemini-3-flash-preview,llm,,95,100
7cadf4089358465625975004263aee218b5ef87e,gemini-3-flash-preview,llm,,95,80
ad66d76049f2a8dcaf9dba95253e1c0d304b828a,gemini-3-flash-preview,llm,,95,100
6190e519c3cc31ce568b6226cb8f5ec710fc6a75,gemini-3-flash-preview,llm,,95,90
91690e37cac6efa7052d9445c964f6bc30f5d5ba,gemini-3-flash-preview,llm,,95,100
9c614fe01ff0021d39492317cbbea8dd581a3b16,gemini-3-flash-preview,llm,,98,100
614885e3c2594757ae2ed13ddb2811a365f58ea6,gemini-3-flash-preview,llm,,85,40
757d25c3fbf701c83ba11ef17aea33165a8a14ec,gemini-3-flash-preview,llm,,100,100
1db3ca67955ba3523a1bc897aca84927657831c2,gemini-3-flash-preview,llm,,98,62
eaaf79b98cc2926c54f09ff774473831adcd19cc,gemini-3-flash-preview,llm,,95,95
64fef683ead61f8abb2fea03183942b00b1b5981,gemini-3-flash-preview,llm,,60,95
0d747bbc3c6dd43581116a2d2c874227cfadc466,gemini-3-flash-preview,llm,,95,100
a63f2ac9d9e92876cf10bcaaac9359fc5dc19928,gemini-3-flash-preview,llm,,98,98
28b55c31554a5d612f56c017f2ec7f779529dd79,gemini-3-flash-preview,llm,,98,100
a2edb76ef8ee4a58202f0d46eb30d40baa01db5d,gemini-3-flash-preview,llm,,70,72
0ca3955c0c3b0b1306698a9008c1cedf1c213bb3,gemini-3-flash-preview,llm,,100,100
467e5d44de17d7763b64d0d2e2e92b364417c433,gemini-3-flash-preview,llm,,95,85
060579c748deb692d1ff2fbd638d70074627f27f,gemini-3-flash-preview,llm,,68,75
2b596bf42bf0a16b057c3f0500c5e3ae4b90dd20,gemini-3-flash-preview,llm,,96,100
b0f3e51851018d2c7f8f5c7ca5b1970221eaf000,gemini-3-flash-preview,llm,,35,65
72464269d274f3c94553180494f04424aff5f6e8,gemini-3-flash-preview,llm,,98,55
c9b6ef480dde0947fa96ab6d62f3b19b8dc30cb1,gemini-3-flash-preview,llm,,90,100
7f2cbe9e70848b20a30e7fec876d676c95139aec,gemini-3-flash-preview,llm,,40,70
a6d3d9faa1935f106767724fc62ad990ecfdc7e7,gemini-3-flash-preview,llm,,98,100
06fbe09c6be14d4aa2d8ac2e2bb6462bc578aba6,gemini-3-flash-preview,llm,,94,100
a4621b4421747e1eeb02f3b5553bc86e958bc942,gemini-3-flash-preview,llm,,85,95
86cef2d2351d2b4f3ef855ea8fa932677a6c24c8,gemini-3-flash-preview,llm,,95,95
717e20d92fcbc0e7a400c76aa571ffbff23c7890,gemini-3-flash-preview,llm,,98,92
eb852247cce27c58dd0901143dedb1ac9b6bbaff,gemini-3-flash-preview,llm,,92,90
0897fb5380bb620907ddc7917fdc86552f1875ae,gemini-3-flash-preview,llm,,98,100
6443d2eb4e2a5bf8fdd02ebd347f9ef9ef454852,gemini-3-flash-preview,llm,,88,95
257cd4572e0c4d111f954c54371f5eb912ba2c0c,gemini-3-flash-preview,llm,,95,90
21e8ed2d9a1562951d380cb25954615e29f7fec5,gemini-3-flash-preview,llm,,92,95
fad5d3576790aa0e8beb8cb5daef2ec3947fa6d6,gemini-3-flash-preview,llm,,92,70
31d66cc56000c37288bac1958271df27fa104c88,gemini-3-flash-preview,llm,,95,75
62f76021b76144777ae88c378fba40313c0f161d,gemini-3-flash-preview,llm,,95,25
a3c358d94e8dcdac961fd0af1c647e5917f11b3f,gemini-3-flash-preview,llm,,95,100
687dfa8d5f02ab11cae0df93145618ef6da711cf,gemini-3-flash-preview,llm,,45,95
f784304e48ff216814f401ba80f689d3fb93aa6c,gemini-3-flash-preview,llm,,88,90
79a11817f8d4a98307e0824c80868ace5865b093,gemini-3-flash-preview,llm,,96,65
a57b1f61060d71a65ffadf47cd9e1e6e32775a10,gemini-3-flash-preview,llm,,100,100
32371a0d21926a6332c579cba56c4f2c442f83b7,gemini-3-flash-preview,llm,,100,100
e29761a2773b31f163476f680b3551ce7e4b3a33,gemini-3-flash-preview,llm,,95,92
54e535bfc9b712db9ddde27e91d4b3df6301f958,gemini-3-flash-preview,llm,,95,100
321be8964f0cb22b988d015b6327200fc0336ff5,gemini-3-flash-preview,llm,,95,100
715370cf743261d8ea19cee5296bf13ca28a47d4,gemini-3-flash-preview,llm,,88,95
394f4f3f0dd124d36d16c644eaaeb2cdbb5ab548,gemini-3-flash-preview,llm,,35,80
7021b5bdb3906e2b71eb69f69fc3f8c013f2ca23,gemini-3-flash-preview,llm,,70,70
7b1dbe275c4a2c6f6e5e766d0415154d0bd2f9f2,gemini-3-flash-preview,llm,,98,85
025220a191cd00746e235024098587096722ec86,gemini-3-flash-preview,llm,,98,95
8095468049f052f02c66e2c6fea4fa88fd95c99f,gemini-3-flash-preview,llm,,65,88
67d5029946343113c464a53c894592441395c592,gemini-3-flash-preview,llm,,95,98
a6d09b6180fc68829112be619074f860614d6b0e,gemini-3-flash-preview,llm,,90,92
82bac8ec02fdb015b7b3c833de198051b5d06608,gemini-3-flash-preview,llm,,95,90
409f2a86c6d099210e24616f3cc36af0d7d6258f,gemini-3-flash-preview,llm,,45,65
481ab944a05bbc7733817885d7501eae1cd56b7d,gemini-3-flash-preview,llm,,45,90
4fd807b6360addbb4ce55cdf773a0dfd10aee829,gemini-3-flash-preview,llm,,88,98
8db50efe8062e579537c5235524b17d60026a407,gemini-3-flash-preview,llm,,95,98
d282b1423029bc6d61e936a527755a16d148b1f1,gemini-3-flash-preview,llm,,88,98
80a3c2302f88b7d69cb268abcdff81100c5fa3a7,gemini-3-flash-preview,llm,,78,90
8e593973388399639eabb0c34b1556b54a26e47a,gemini-3-flash-preview,llm,,70,60
e684305a55baee99b5e26b80c078d1ff7cf3b18a,gemini-3-flash-preview,llm,,80,92
77ed6564217f1668b8a9e66ad5d4f1da0adc3084,gemini-3-flash-preview,llm,,98,90
77db35356118ed694bea7ea6f88f5b3906794a41,gemini-3-flash-preview,llm,,94,96
13a6fa0a4a0dffa8dbf29f6a82764e4a65bb9988,gemini-3-flash-preview,llm,,90,60
cf79d4048efb70c96f8c0303e10503f01694baa5,gemini-3-flash-preview,llm,,100,20
d1a1a80944090dd77baa1f3096e79d16a16bda01,gemini-3-flash-preview,llm,,95,50
9982acf081bb0e92cef530eef662145da0ff5969,gemini-3-flash-preview,llm,,40,70
34cbe32928bd514e1733df1caff2408ed9e51607,gemini-3-flash-preview,llm,,80,85
e3b519cd1b1c7f1619ef8021f3ab48a694588c63,gemini-3-flash-preview,llm,,98,40
5a97bd5f8c4aefe23e817891de768c7ede94729b,gemini-3-flash-preview,llm,,98,100
1d1f9f47ab31a71e1727b6f109cf9b7cc33f626c,gemini-3-flash-preview,llm,,95,65
40daad4fb4d1d29364dbd57f8c316c2a60b3abd0,gemini-3-flash-preview,llm,,95,92
73920e096c5cd1cb8f72df3b044834b4d4e01c60,gemini-3-flash-preview,llm,,92,100
b0346634e17603ebbfd5375942399f28ae13d597,gemini-3-flash-preview,llm,,95,50
b2464c2193c0669b93486d394f53fc52cfa27e3e,gemini-3-flash-preview,llm,,92,40
ce2090b839d7575936982674483ee199e0b52a90,gemini-3-flash-preview,llm,,90,90
ee9fdf8d6f86c60dfdb9f95346351608b0d441db,gemini-3-flash-preview,llm,,95,85
d74f21e17df866b6f28c3775b18a6fa96908b87d,gemini-3-flash-preview,llm,,98,95
dcb78c1ef4e5c9ac865f435705d06ba8e657f509,gemini-3-flash-preview,llm,,98,95
84f372c80cf02b332895d7ac8d403b6b109340bf,gemini-3-flash-preview,llm,,95,85
0ce2ddff9d39d5b73f8f27cd027d1c48a55ac509,gemini-3-flash-preview,llm,,98,65
98f47229fe5b353fa4e4db73bb2d97d63546018f,gemini-3-flash-preview,llm,,95,95
fa155140bbc4c8c63b1295d2b7f1419303a906d1,gemini-3-flash-preview,llm,,98,30
4f7a4d7429bc6bd6912128eb52a392b915701e79,gemini-3-flash-preview,llm,,95,98
9a1c480dfed61ec11c278381aa66b0bd65dac3b3,gemini-3-flash-preview,llm,,88,30
70574301b4de22f990c04ff68a396b115330d257,gemini-3-flash-preview,llm,,94,15
4825536698b944be7ba6c68452f8512ddd6690b7,gemini-3-flash-preview,llm,,94,35
7dd00501cf7148fc5a77efe8f7dd4da42d729d1c,gemini-3-flash-preview,llm,,98,100
866a4169a36469bd141957d100eb9d6066fab43a,gemini-3-flash-preview,llm,,95,55
89a86aab9a0d10df326a8e96f353e5878e76d654,gemini-3-flash-preview,llm,,96,98
d6a9d7e5b14ef7e67a514bc54b9e7df595558dcb,gemini-3-flash-preview,llm,,80,98
fc6722ec83328e86f69a0f4bb62401300de331f2,gemini-3-flash-preview,llm,,85,100
5ca7d264065f2382a7566d45c563d917b5f64119,gemini-3-flash-preview,llm,,85,95
37b9ee3b0ee3879d8ee237564669d1d0eb9b2f04,gemini-3-flash-preview,llm,,96,98
a645da4a68a739b0e75a260be225db5c657d09a0,gemini-3-flash-preview,llm,,95,100
3ea64cfbe523de55a74835a3d1b52a3da4eaab41,gemini-3-flash-preview,llm,,92,93
30097b1c6753307a317d856c3a00d793be1be0f0,gemini-3-flash-preview,llm,,98,100
45cee2dfbf73b6b98d8e8ad82b1cf5fe6ba1cc93,gemini-3-flash-preview,llm,,95,95
